	OS_CFG_DBG	OS_CFG_TESTS_ENABLE	OS_CFG_PROFILE	OS_CFG_MAIN_LOOP_TIMEOUT	OS_CFG_FBCAN1_ENABLE	OS_CFG_FBCAN2_ENABLE	OS_CFG_FBCAN3_ENABLE	OS_CFG_SSSP_ENABLE	OS_CFG_SSSP_STARTUP	OS_CFG_SSSP_SHUTDOWN	OS_CFG_SSSP_MSI	OS_CFG_SSSP_MODULEIDWIDTH	OS_CFG_SSSP_MASTER	OS_CFG_SSSP_STACK_START	OS_CFG_SSSP_STACK_END	OS_CFG_SSSP_SIGNALDELAY	OS_CFG_SSSP_SYSSYNCPERIOD	OS_CFG_SHELL_ENABLE	OS_CFG_SHELL_STACKSIZE	OS_CFG_SHELL_THREADPRIO	OS_CFG_SHELL_LINEWIDTH	OS_CFG_SHELL_MAXARGS	OS_CFG_SHELL_HISTLENGTH	OS_CFG_SHELL_REMOTE_ENABLE
0	true	true	true	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
1	false	true	true	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
2	true	false	true	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
3	false	false	true	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
4	true	true	false	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
5	false	true	false	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
6	true	false	false	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
7	false	false	false	0	true	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
8	true	true	true	0	false	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
9	false	true	true	0	false	true	true	False	False	False	False	16	False	False	False	1000	1000000	True	1024	AOS_THD_NORMALPRIO_MIN	64	8	3	False
